idsegment,direction,streams,framenumbe,scans
"14051",T,"74139,79365,84591,89817",16,"1"
"14052",T,"74140,79366,84592,89818",3,"1"
"14053",T,"74141,79367,84593,89819",23,"1"
"14054",T,"74142,79368,84594,89820",31,"1"
"14055",T,"74143,79369,84595,89821",28,"1"
"14056",T,"74144,79370,84596,89822",22,"1"
"14057",T,"74145,79371,84597,89823",26,"1"
"14058",T,"74146,79372,84598,89824",20,"1"
"14064",F,"74152,79378,84604,89830",3,"1"
"14065",F,"74153,79379,84605,89831",21,"1"
"14066",F,"74154,79380,84606,89832",28,"1"
"14067",F,"74155,79381,84607,89833",24,"1"
"14068",F,"74156,79382,84608,89834",28,"1"
"14069",F,"74157,79383,84609,89835",31,"1"
"14070",F,"74158,79384,84610,89836",20,"1"
"14071",F,"74159,79385,84611,89837",3,"1"
"14072",F,"74160,79386,84612,89838",12,"1"
"16835",T,"76873,82099,87325,92551",19,"1"
"16836",T,"76874,82100,87326,92552",32,"1"
"16837",T,"76875,82101,87327,92553",87,"2"
"16838",F,"76876,82102,87328,92554",32,"1"
"16839",F,"76877,82103,87329,92555",20,"1"
"16849",T,"76887,82113,87339,92565",15,"2"
"16850",F,"76888,82114,87340,92566",93,"3"
"16851",F,"76889,82115,87341,92567",30,"1"
"16852",T,"76890,82116,87342,92568",39,"1"
"16853",T,"76891,82117,87343,92569",33,"1"
"16854",T,"76892,82118,87344,92570",24,"1"
"16855",T,"76893,82119,87345,92571",23,"1"
"16856",T,"76894,82120,87346,92572",15,"1"
"16857",T,"76895,82121,87347,92573",21,"1"
"16858",T,"76896,82122,87348,92574",13,"1"
"16872",T,"76907,82133,87359,92585",75,"2"
"16873",T,"76908,82134,87360,92586",70,"2"
"16875",F,"76909,82135,87361,92587",61,"3"
"16876",F,"76910,82136,87362,92588",78,"2"
"16877",T,"76911,82137,87363,92589",86,"3"
"16878",T,"76912,82138,87364,92590",24,"1"
"16879",T,"76913,82139,87365,92591",25,"1"
"16880",T,"76914,82140,87366,92592",8,"1"
"16881",T,"76915,82141,87367,92593",8,"1"
"16882",T,"76916,82142,87368,92594",29,"1"
"16883",T,"76917,82143,87369,92595",6,"1"
"16884",T,"76918,82144,87370,92596",91,"4"
"16885",F,"76919,82145,87371,92597",79,"4"
"16888",F,"76922,82148,87374,92600",34,"1"
"16889",F,"76923,82149,87375,92601",83,"3"
"16890",F,"76924,82150,87376,92602",71,"2"
"16948",F,"76981,82207,87433,92659",48,"1"
"16949",F,"76982,82208,87434,92660",38,"1"
"19416",T,"95217,96093,95436,95655",22,"1"
